0deg,10deg,20deg,30deg,40deg
0.601583577,0.487002397,2.319211595,2.77666953,3.633403642
0,0.773446039,2.433606101,3.00526936,3.86160741
0.487002397,1.432096184,2.347811992,2.948128095,4.20368089
0.31512361,1.28893756,2.862405226,3.718993973,4.57392126
0,1.603862771,1.432096184,3.604869904,3.576334375
0.544293532,1.546610294,1.603862771,2.519389291,2.719505461
0.630228156,1.231669503,2.347811992,1.346203041,1.546610294
0,2.290610043,2.061757691,2.833828067,3.00526936
0,1.174398985,2.862405226,2.319211595,1.489354727
0.343770552,0.859372244,3.519258002,3.718993973,3.090970004
0.572938698,0.802088513,3.119533828,2.376411218,2.433606101
0,0,2.948128095,3.405084384,5.171180993